,Unnamed: 0,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z,donor,sample,position_along_hipp_AP_axis
51,1074,4255,8,13738,CX,CA2,"CA2 field, left",1288534,120,101,126,-29.0,-35.0,8.0,-23.2750241552978,-38.6483889551115,4.402805507601,12876,182,88
52,1075,4251,8,13722,CX,S,"subiculum, left",1288900,116,109,126,-25.0,-35.0,0.0,-20.3578716081491,-38.953400610867796,-3.87878840905694,12876,183,89
53,1076,4254,6,13634,CX,CA1,"CA1 field, left",1289062,118,133,100,-27.0,-9.0,-24.0,-28.284005851306,-9.506506726759687,-23.650747422492,12876,184,116
54,1077,4254,6,13626,CX,CA1,"CA1 field, left",1288915,117,133,100,-26.0,-9.0,-24.0,-27.3495052038976,-9.41731479488482,-23.754127435085202,12876,185,116
55,1078,4251,6,13618,CX,S,"subiculum, left",1288914,109,135,100,-18.0,-9.0,-26.0,-19.8954998304206,-9.30126441655648,-26.4790490831292,12876,186,116
56,1086,4256,7,13705,CX,CA3,"CA3 field, left",1278250,120,121,111,-29.0,-20.0,-12.0,-26.8199645983963,-22.5015226997053,-12.7978558171383,12876,194,103
57,1087,4251,7,13681,CX,S,"subiculum, left",1278253,118,129,111,-27.0,-20.0,-20.0,-25.800707779435296,-21.9355649657334,-19.8016913572243,12876,195,105
58,1322,4257,10,139379850,CX,CA4,"CA4 field, left",112954868,121,118,117,-30.0,-26.0,-9.0,-29.733307690583896,-26.0196879776549,-12.2549777534359,14380,67,100
59,1323,4255,10,139379810,CX,CA2,"CA2 field, left",113044491,126,116,117,-35.0,-26.0,-7.0,-33.786987050163305,-25.972972134074997,-8.874284990177651,14380,68,99
60,1325,4257,10,139379764,CX,CA4,"CA4 field, left",113266083,120,118,117,-29.0,-26.0,-9.0,-28.8236635360496,-25.963530315969898,-12.410080104230799,14380,70,100
61,1349,4257,11,139379786,CX,CA4,"CA4 field, left",113213777,115,104,129,-24.0,-38.0,5.0,-22.381445489180496,-37.1947125107395,1.44541167914421,14380,94,88
62,1350,4258,11,139379802,CX,DG,"dentate gyrus, left",112429620,114,105,129,-23.0,-38.0,4.0,-21.595412881467105,-37.2710073226847,0.339741172230493,14380,95,89
63,1352,4256,11,139379906,CX,CA3,"CA3 field, left",113355697,114,104,129,-23.0,-38.0,5.0,-21.4884370035431,-37.0784083775846,1.5321805420789,14380,97,88
64,1449,4256,9,127687558,CX,CA3,"CA3 field, left",113670035,119,125,109,-28.0,-18.0,-16.0,-29.105525645676888,-17.5336900119825,-18.414584193059397,14380,194,109
65,1450,4255,9,127687526,CX,CA2,"CA2 field, left",113667270,124,123,109,-33.0,-18.0,-14.0,-33.4462657145851,-18.1069595275158,-15.8509587594644,14380,195,108
66,1454,4254,9,127687637,CX,CA1,"CA1 field, left",1408736,126,126,109,-35.0,-18.0,-17.0,-36.1983590337625,-18.4024723829052,-18.5634271938117,14380,199,108
67,1750,4257,9,127687542,CX,CA4,"CA4 field, left",113670034,119,126,109,-28.0,-18.0,-17.0,-29.220976786051803,-17.4787111734503,-19.2871372071877,14380,495,109
68,1751,4258,9,127687510,CX,DG,"dentate gyrus, left",1408739,116,126,109,-25.0,-18.0,-17.0,-26.47666461407209,-17.2541379041573,-19.669110252154397,14380,496,109
69,1752,4251,9,127687621,CX,S,"subiculum, left",1408735,115,129,109,-24.0,-18.0,-20.0,-25.765630234327002,-17.3069324863655,-22.4204274932793,14380,497,109
70,1764,4258,10,139379866,CX,DG,"dentate gyrus, left",1406549,121,119,117,-30.0,-26.0,-10.0,-29.8843162491961,-26.1468751085627,-13.271377784195002,14380,509,100
71,1765,4256,10,139379834,CX,CA3,"CA3 field, left",113185243,122,117,117,-31.0,-26.0,-8.0,-30.507749622044606,-25.960402580498705,-11.0203604996193,14380,510,100
72,1766,4254,10,139379794,CX,CA1,"CA1 field, left",113185244,124,121,117,-33.0,-26.0,-12.0,-33.134336383911,-26.3398482986628,-14.648491193217303,14380,511,100
73,1767,4251,10,139379778,CX,S,"subiculum, left",113185245,114,119,117,-23.0,-26.0,-10.0,-23.54153386911649,-25.5779341036974,-13.5141117759894,14380,512,101
74,1779,4256,11,139379770,CX,CA3,"CA3 field, left",113328411,116,104,129,-25.0,-38.0,5.0,-23.290029692706998,-37.3249797859909,1.41410355094954,14380,524,88
75,1781,4254,11,139379737,CX,CA1,"CA1 field, left",113380929,119,108,129,-28.0,-38.0,1.0,-26.559081498729,-38.0776916474736,-3.211566534870569,14380,526,88
76,1782,4251,11,139379717,CX,S,"subiculum, left",113380930,110,108,129,-19.0,-38.0,1.0,-18.211251804487,-37.3089741856234,-2.71826827874921,14380,527,89
77,2050,4258,8,147628345,CX,DG,"dentate gyrus, left",127001454,118,131,107,-27.0,-16.0,-22.0,-24.728000048182807,-14.049826553368499,-20.3790968518968,15496,266,112
78,2053,4251,8,147628196,CX,S,"subiculum, left",127001456,114,138,106,-23.0,-15.0,-29.0,-20.7889058644297,-13.069618914886696,-26.845176317402892,15496,269,113
79,2064,4257,8,147628361,CX,CA4,"CA4 field, left",127001567,117,131,107,-26.0,-16.0,-22.0,-23.6926967805083,-14.0092693736476,-20.3127210389235,15496,280,112
80,2081,4251,10,148955218,CX,S,"subiculum, left",138072210,123,106,131,-32.0,-40.0,3.0,-29.6237843976543,-39.4512110124569,3.2799952600847697,15496,297,88
81,2088,4256,9,148955136,CX,CA3,"CA3 field, left",127589931,127,118,119,-36.0,-28.0,-9.0,-32.949964205949996,-27.525870156717602,-8.40429269017389,15496,304,96
82,2089,4255,9,148955119,CX,CA2,"CA2 field, left",127589930,131,117,119,-40.0,-28.0,-8.0,-36.8191285323256,-28.589399344058197,-8.188310969867999,15496,305,96
83,2090,4251,9,148955278,CX,S,"subiculum, left",138199839,118,124,119,-27.0,-28.0,-15.0,-23.47946993141249,-25.9946626111768,-13.353755067126801,15496,306,101
84,2133,4258,9,148955168,CX,DG,"dentate gyrus, left",127537206,125,120,119,-34.0,-28.0,-11.0,-30.5200461648527,-27.16393304727409,-10.172624010048901,15496,349,99
85,2134,4257,9,148955152,CX,CA4,"CA4 field, left",127589932,125,119,119,-34.0,-28.0,-10.0,-30.707315280241694,-27.2032261461992,-9.275499241761741,15496,350,99
86,2135,4254,9,148955294,CX,CA1,"CA1 field, left",138199757,132,123,119,-41.0,-28.0,-14.0,-36.392771738655796,-28.932689468537692,-13.761546370484801,15496,351,98
87,2148,4256,8,147628198,CX,CA3,"CA3 field, left",127094416,110,129,106,-19.0,-15.0,-20.0,-16.9810920257021,-12.9355522191589,-18.530976242167,15496,364,114
88,2150,4255,8,147628377,CX,CA2,"CA2 field, left",127094417,120,126,107,-29.0,-16.0,-17.0,-27.099831929762,-14.395536412141302,-15.8758759812101,15496,366,108
89,2253,4254,8,147628212,CX,CA1,"CA1 field, left",127004958,124,132,107,-33.0,-16.0,-23.0,-30.9538981905071,-14.4138481334287,-21.9548313582715,15496,469,112
90,2274,4258,8,160091979,CX,DG,"dentate gyrus, left",145964255,120,129,107,-29.0,-16.0,-20.0,-30.748732701035088,-18.6173564005506,-18.3850209237045,15697,20,108
91,2275,4257,8,160091963,CX,CA4,"CA4 field, left",145964256,120,128,107,-29.0,-16.0,-19.0,-30.478007506171604,-18.66363999179091,-17.2934536957552,15697,21,108
92,2276,4255,8,160091931,CX,CA2,"CA2 field, left",145964254,124,125,107,-33.0,-16.0,-16.0,-34.2363599629699,-18.511614113678103,-14.2811097053878,15697,22,105
93,2299,4258,9,160091911,CX,DG,"dentate gyrus, left",148020449,121,122,117,-30.0,-26.0,-13.0,-30.0706946562333,-27.997488580456,-11.444798249568,15697,45,98
94,2300,4251,7,159438961,CX,S,"subiculum, left",147944867,108,139,94,-17.0,-3.0,-30.0,-23.442765824144296,-5.22499420179991,-29.2408573843736,15697,46,119
95,2329,4254,8,160091915,CX,CA1,"CA1 field, left",147066198,123,131,107,-32.0,-16.0,-22.0,-34.1926258587594,-18.291074091633,-20.1365910688377,15697,75,108
96,2346,4255,9,160091863,CX,CA2,"CA2 field, left",148020447,129,121,117,-38.0,-26.0,-12.0,-37.9152396502992,-28.520355382041892,-9.477869630364339,15697,92,97
97,2347,4254,9,160091847,CX,CA1,"CA1 field, left",148020448,126,126,117,-35.0,-26.0,-17.0,-35.37420406163329,-27.74167470956469,-14.6748375133253,15697,93,98
98,2349,4258,10,160091851,CX,DG,"dentate gyrus, left",157086720,106,106,133,-15.0,-42.0,3.0,-14.749522269239199,-43.1382786339892,4.06674572134001,15697,95,87
99,2350,4256,10,160092009,CX,CA3,"CA3 field, left",157086569,109,107,133,-18.0,-42.0,2.0,-17.3697141608219,-43.5456324803154,3.17888470020471,15697,96,87
